Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.392"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.332"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.702"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.608"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.239"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.155"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.797"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.627"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.719"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.701"
"ET","Temperature change on land","008","Albania","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.299"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.812"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.926"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.662"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.957"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.894"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2018","2018","°c","1.877"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.922"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.513"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.49"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2022","2022","°c","3.196"
"ET","Temperature change on land","020","Andorra","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.83"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.101"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.417"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.179"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.109"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.754"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.539"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.382"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.326"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.415"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.554"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.612"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.217"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.183"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.252"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.212"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.605"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.35"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.683"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2020","2020","°c","3.522"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.709"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.911"
"ET","Temperature change on land","112","Belarus","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.721"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.479"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.426"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.379"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.892"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.723"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.173"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.056"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.544"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.174"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.773"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.408"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.372"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.88"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.864"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.724"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.462"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.319"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.033"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.92"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.648"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.179"
"ET","Temperature change on land","070","Bosnia and Herzegovina","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.562"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.423"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.167"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.417"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.876"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2017","2017","°c","0.929"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.158"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.07"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.987"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.567"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.837"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.646"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.611"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.836"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.161"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.533"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.508"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2018","2018","°c","1.457"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.573"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.008"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.055"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.439"
"ET","Temperature change on land","830","Channel Islands","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.042"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.289"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.049"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.934"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.844"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.559"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.317"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.114"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.02"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.619"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.295"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.567"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.779"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.507"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.124"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.08"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.597"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.654"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.542"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.343"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.299"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.371"
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.495"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.399"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.675"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.517"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.849"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.62"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.105"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.175"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.633"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.688"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.232"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2023","2023","°c","1.884"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.149"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.406"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.338"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.901"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.466"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.379"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.182"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2020","2020","°c","3.584"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2021","2021","°c","2.122"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.942"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.16"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.661"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.833"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2015","2015","°c","0.882"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2016","2016","°c","0.873"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.559"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2018","2018","°c","0.901"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2019","2019","°c","0.942"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2020","2020","°c","0.909"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.055"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.311"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2023","2023","°c","0.76"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.42"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.58"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.604"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.147"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.48"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.151"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.446"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2020","2020","°c","3.316"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.937"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.051"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2023","2023","°c","1.879"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.728"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.07"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.621"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.797"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.792"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.032"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.998"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.527"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.309"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.906"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.623"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.584"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.519"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.675"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.989"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.652"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.393"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.328"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.512"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.321"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.593"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2023","2023","°c","2.458"
"ET","Temperature change on land","292","Gibraltar","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.792"
"ET","Temperature change on land","292","Gibraltar","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.365"
"ET","Temperature change on land","292","Gibraltar","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.311"
"ET","Temperature change on land","292","Gibraltar","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.677"
"ET","Temperature change on land","292","Gibraltar","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.97"
